,ID,TypeGefailleerde,RegioS,Perioden,UitgesprokenFaillissementen_1
2083,2083,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 4e kwartaal,13.0
2084,2084,"Bedrijven, instellingen en eenmanszaken",Groningen,2021,57.0
2085,2085,"Bedrijven, instellingen en eenmanszaken",Groningen,2022 januari,4.0
2086,2086,"Bedrijven, instellingen en eenmanszaken",Groningen,2022 februari,1.0
2087,2087,"Bedrijven, instellingen en eenmanszaken",Groningen,2022 maart,3.0
2088,2088,"Bedrijven, instellingen en eenmanszaken",Groningen,2022 1e kwartaal,8.0
2089,2089,"Bedrijven, instellingen en eenmanszaken",Groningen,2022 april,1.0
2090,2090,"Bedrijven, instellingen en eenmanszaken",Groningen,2022 mei,4.0
2091,2091,"Bedrijven, instellingen en eenmanszaken",Groningen,2022 juni,3.0
2092,2092,"Bedrijven, instellingen en eenmanszaken",Groningen,2022 2e kwartaal,8.0
2093,2093,"Bedrijven, instellingen en eenmanszaken",Groningen,2022 juli,4.0
2094,2094,"Bedrijven, instellingen en eenmanszaken",Groningen,2022 augustus,7.0
2095,2095,"Bedrijven, instellingen en eenmanszaken",Groningen,2022 september,11.0
2096,2096,"Bedrijven, instellingen en eenmanszaken",Groningen,2022 3e kwartaal,22.0
2097,2097,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 januari,25.0
2098,2098,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 februari,15.0
2099,2099,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 maart,18.0
2100,2100,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 1e kwartaal,58.0
2101,2101,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 april,19.0
2102,2102,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 mei,14.0
2103,2103,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 juni,16.0
2104,2104,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 2e kwartaal,49.0
2105,2105,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 juli,21.0
2106,2106,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 augustus,17.0
2107,2107,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 september,21.0
2108,2108,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 3e kwartaal,59.0
2109,2109,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 oktober,21.0
2110,2110,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 november,27.0
2111,2111,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 december,13.0
2112,2112,"Bedrijven, instellingen en eenmanszaken",Friesland,2009 4e kwartaal,61.0
2113,2113,"Bedrijven, instellingen en eenmanszaken",Friesland,2009,227.0
2114,2114,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 januari,17.0
2115,2115,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 februari,20.0
2116,2116,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 maart,21.0
2117,2117,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 1e kwartaal,58.0
2118,2118,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 april,17.0
2119,2119,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 mei,12.0
2120,2120,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 juni,23.0
2121,2121,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 2e kwartaal,52.0
2122,2122,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 juli,13.0
2123,2123,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 augustus,9.0
2124,2124,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 september,8.0
2125,2125,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 3e kwartaal,30.0
2126,2126,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 oktober,15.0
2127,2127,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 november,10.0
2128,2128,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 december,14.0
2129,2129,"Bedrijven, instellingen en eenmanszaken",Friesland,2010 4e kwartaal,39.0
2130,2130,"Bedrijven, instellingen en eenmanszaken",Friesland,2010,179.0
2131,2131,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 januari,24.0
2132,2132,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 februari,11.0
2133,2133,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 maart,17.0
2134,2134,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 1e kwartaal,52.0
2135,2135,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 april,11.0
2136,2136,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 mei,17.0
2137,2137,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 juni,14.0
2138,2138,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 2e kwartaal,42.0
2139,2139,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 juli,17.0
2140,2140,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 augustus,18.0
2141,2141,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 september,15.0
2142,2142,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 3e kwartaal,50.0
2143,2143,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 oktober,16.0
2144,2144,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 november,17.0
2145,2145,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 december,12.0
2146,2146,"Bedrijven, instellingen en eenmanszaken",Friesland,2011 4e kwartaal,45.0
2147,2147,"Bedrijven, instellingen en eenmanszaken",Friesland,2011,189.0
2148,2148,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 januari,39.0
2149,2149,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 februari,21.0
2150,2150,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 maart,21.0
2151,2151,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 1e kwartaal,81.0
2152,2152,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 april,29.0
2153,2153,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 mei,15.0
2154,2154,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 juni,26.0
2155,2155,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 2e kwartaal,70.0
2156,2156,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 juli,32.0
2157,2157,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 augustus,19.0
2158,2158,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 september,27.0
2159,2159,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 3e kwartaal,78.0
2160,2160,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 oktober,39.0
2161,2161,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 november,17.0
2162,2162,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 december,26.0
2163,2163,"Bedrijven, instellingen en eenmanszaken",Friesland,2012 4e kwartaal,82.0
2164,2164,"Bedrijven, instellingen en eenmanszaken",Friesland,2012,311.0
2165,2165,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 januari,36.0
2166,2166,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 februari,34.0
2167,2167,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 maart,32.0
2168,2168,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 1e kwartaal,102.0
2169,2169,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 april,26.0
2170,2170,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 mei,30.0
2171,2171,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 juni,29.0
2172,2172,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 2e kwartaal,85.0
2173,2173,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 juli,23.0
2174,2174,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 augustus,15.0
2175,2175,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 september,21.0
2176,2176,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 3e kwartaal,59.0
2177,2177,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 oktober,15.0
2178,2178,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 november,21.0
2179,2179,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 december,20.0
2180,2180,"Bedrijven, instellingen en eenmanszaken",Friesland,2013 4e kwartaal,56.0
2181,2181,"Bedrijven, instellingen en eenmanszaken",Friesland,2013,302.0
